N,WOS,WOP,PDF
10,0.0,0.1,0.07724788147264805
15,0.0,0.13333333333333333,0.07724788147264805
25,0.0,0.16,0.07724788147264805
39,0.0,0.1794871794871795,0.07724788147264805
63,0.031746031746031744,0.07936507936507936,0.07724788147264805
100,0.05,0.04,0.07724788147264805
158,0.10126582278481013,0.0759493670886076,0.07724788147264805
251,0.07569721115537849,0.11155378486055777,0.07724788147264805
398,0.08542713567839195,0.10301507537688442,0.07724788147264805
630,0.07936507936507936,0.06984126984126984,0.07724788147264805
1000,0.072,0.069,0.07724788147264805
1584,0.07449494949494949,0.08585858585858586,0.07724788147264805
2511,0.07327757865392275,0.08920748705694942,0.07724788147264805
3981,0.08188897261994474,0.07535795026375283,0.07724788147264805
6309,0.0743382469488033,0.08020288476779204,0.07724788147264805
10000,0.0767,0.0783,0.07724788147264805
15848,0.07691822311963654,0.07653962645128723,0.07724788147264805
25118,0.07616052233458077,0.0777530058125647,0.07724788147264805
39810,0.07500627982918864,0.0770158251695554,0.07724788147264805
63095,0.07450669625168396,0.0775497266027419,0.07724788147264805
100000,0.07605,0.07718,0.07724788147264805
