5000,PDF,WOS,WOP
0.0,98.6227923835742,103.0,107.0
0.20161290322580644,264.1698474543641,248.0,270.0
0.4032258064516129,358.9027554221741,403.0,361.0
0.6048387096774193,386.2394073632403,376.0,378.0
0.8064516129032258,370.7586198542057,397.0,357.0
1.0080645161290323,335.57166081135017,348.0,316.0
1.2096774193548385,295.0014320114924,289.0,279.0
1.411290322580645,256.03514039122257,254.0,265.0
1.6129032258064515,221.3699001296465,224.0,215.0
1.814516129032258,191.60564744514386,180.0,216.0
2.0161290322580645,166.454102579128,151.0,172.0
2.217741935483871,145.32380947945651,131.0,136.0
2.419354838709677,127.5775686281691,110.0,125.0
2.6209677419354835,112.633080620618,105.0,117.0
2.82258064516129,99.993247659583,94.0,107.0
3.0241935483870965,89.24713219622848,86.0,99.0
3.225806451612903,80.06017859759712,65.0,68.0
3.4274193548387095,72.16175350699238,78.0,80.0
3.629032258064516,65.33323589144018,57.0,64.0
3.8306451612903225,59.39774841425716,56.0,62.0
4.032258064516129,54.21171742279643,42.0,42.0
4.233870967741935,49.65810124038697,53.0,36.0
4.435483870967742,45.64102223774291,48.0,50.0
4.637096774193548,42.08153435012768,45.0,46.0
4.838709677419354,38.91429033616126,42.0,35.0
5.040322580645161,36.08491456583082,40.0,37.0
5.241935483870967,33.547926456102,35.0,38.0
5.443548387096774,31.265093171681247,29.0,24.0
5.64516129032258,29.204117317864764,27.0,26.0
5.846774193548387,27.337586703805037,24.0,34.0
6.048387096774193,25.642129824252763,34.0,26.0
6.25,24.097733467410563,23.0,23.0
6.451612903225806,22.687188648174704,26.0,24.0
6.653225806451612,21.395638574479293,15.0,24.0
6.854838709677419,20.210208118166122,22.0,24.0
7.056451612903225,19.119698696072053,26.0,16.0
7.258064516129032,18.11433588885358,24.0,17.0
7.459677419354838,17.185559775065585,15.0,18.0
7.661290322580645,16.325850018254208,16.0,16.0
7.862903225806451,15.528579353238786,15.0,10.0
8.064516129032258,14.787890378716723,14.0,16.0
8.266129032258064,14.098591556212792,21.0,16.0
8.46774193548387,13.456069100520121,18.0,13.0
8.669354838709676,12.85621207033745,16.0,17.0
8.870967741935484,12.295348465122327,16.0,12.0
9.07258064516129,11.770190532465058,11.0,10.0
9.274193548387096,11.27778781059359,11.0,11.0
9.475806451612902,10.815486689224606,11.0,14.0
9.677419354838708,10.380895481590171,15.0,8.0
9.879032258064516,9.971854171027042,7.0,11.0
10.080645161290322,9.586408134803909,10.0,9.0
10.282258064516128,9.222785262022054,6.0,9.0
10.483870967741934,8.879375976333648,8.0,9.0
10.685483870967742,8.554715751712266,5.0,7.0
10.887096774193548,8.247469773691451,3.0,9.0
11.088709677419354,7.956419451790736,7.0,11.0
11.29032258064516,7.680450533279065,10.0,13.0
11.491935483870966,7.418542605556744,10.0,6.0
11.693548387096774,7.169759805565542,11.0,7.0
11.89516129032258,6.933242580813917,7.0,6.0
12.096774193548386,6.708200368659989,13.0,3.0
12.298387096774192,6.4939050791602835,9.0,8.0
12.5,6.2896852825874285,6.0,5.0
12.701612903225806,6.094921016170166,3.0,0.0
12.903225806451612,5.9090391360358545,4.0,6.0
13.104838709677418,5.731509150123035,6.0,5.0
13.306451612903224,5.561839476186103,1.0,6.0
13.508064516129032,5.39957407619196,5.0,4.0
13.709677419354838,5.244289424580495,2.0,7.0
13.911290322580644,5.095591773170219,6.0,2.0
14.11290322580645,4.953114680086578,2.0,6.0
14.314516129032258,4.8165167740565895,8.0,5.0
14.516129032258064,4.685479728858341,10.0,4.0
14.71774193548387,4.559706425704274,6.0,2.0
14.919354838709676,4.43891928393711,6.0,4.0
15.120967741935482,4.322858742691269,4.0,7.0
15.32258064516129,4.2112818781474965,9.0,2.0
15.524193548387096,4.103961142749996,5.0,1.0
15.725806451612902,4.000683214267914,6.0,4.0
15.927419354838708,3.901247943924012,6.0,5.0
16.129032258064516,3.8054673939801056,6.0,1.0
16.33064516129032,3.7131649562097135,3.0,7.0
16.532258064516128,3.6241745435918946,2.0,0.0
16.733870967741936,3.5383398483725124,4.0,2.0
16.93548387096774,3.455513660348443,1.0,2.0
17.137096774193548,3.3755572398599596,6.0,5.0
17.338709677419352,3.2983397405434918,3.0,4.0
17.54032258064516,3.2237376773849165,4.0,3.0
17.741935483870968,3.1516344360657533,9.0,6.0
17.943548387096772,3.0819198199842286,1.0,5.0
18.14516129032258,3.01448963168402,1.0,2.0
18.346774193548384,2.9492452857444658,4.0,2.0
18.548387096774192,2.886093450457858,4.0,1.0
18.75,2.8249457158805584,3.0,8.0
18.951612903225804,2.765718286063153,4.0,4.0
19.153225806451612,2.708331693470657,2.0,3.0
19.354838709677416,2.6527105337876415,7.0,1.0
19.556451612903224,2.5987832194607208,5.0,5.0
19.758064516129032,2.5464817504862807,6.0,0.0
19.959677419354836,2.495741501076856,3.0,5.0
20.161290322580644,2.4465010209642757,2.0,2.0
20.362903225806452,2.398701850204743,2.0,3.0
20.564516129032256,2.3522883464476356,2.0,1.0
20.766129032258064,2.3072075237202947,4.0,2.0
20.96774193548387,2.263408901860657,6.0,0.0
21.169354838709676,2.2208443658020687,5.0,4.0
21.370967741935484,2.1794680339814674,0.0,5.0
21.57258064516129,2.139236135201977,3.0,2.0
21.774193548387096,2.1001068933347575,1.0,3.0
21.9758064516129,2.0620404192965918,2.0,0.0
22.177419354838708,2.0249986097824886,2.0,3.0
22.379032258064516,1.9889450522765986,3.0,1.0
22.58064516129032,1.9538449358996042,2.0,0.0
22.782258064516128,1.9196649676879451,0.0,4.0
22.983870967741932,1.8863732939294886,5.0,2.0
23.18548387096774,1.8539394262097677,1.0,2.0
23.387096774193548,1.8223341718509936,2.0,5.0
23.588709677419352,1.7915295684460195,2.0,2.0
23.79032258064516,1.7614988222159482,1.0,4.0
23.991935483870968,1.7322162499387381,1.0,0.0
24.193548387096772,1.7036572242130898,2.0,4.0
24.39516129032258,1.6757981218417164,1.0,3.0
24.596774193548384,1.6486162751325195,1.0,1.0
24.798387096774192,1.6220899259306378,3.0,2.0
