N,WOS,WOP,PDF
10,0.1,0.0,0.07724788147264805
15,0.13333333333333333,0.06666666666666667,0.07724788147264805
25,0.16,0.04,0.07724788147264805
39,0.02564102564102564,0.0,0.07724788147264805
63,0.12698412698412698,0.1111111111111111,0.07724788147264805
100,0.04,0.07,0.07724788147264805
158,0.10759493670886076,0.05063291139240506,0.07724788147264805
251,0.09163346613545817,0.08366533864541832,0.07724788147264805
398,0.08040201005025126,0.08040201005025126,0.07724788147264805
630,0.06825396825396825,0.08095238095238096,0.07724788147264805
1000,0.079,0.085,0.07724788147264805
1584,0.07828282828282829,0.07133838383838384,0.07724788147264805
2511,0.07845479888490642,0.08522500995619275,0.07724788147264805
3981,0.0793770409444863,0.07435317759356945,0.07724788147264805
6309,0.0757647804723411,0.07291171342526549,0.07724788147264805
10000,0.0804,0.0788,0.07724788147264805
15848,0.07679202423018677,0.07628722867238769,0.07724788147264805
25118,0.07651883111712716,0.07560315311728641,0.07724788147264805
39810,0.07467972871137905,0.07417734237628737,0.07724788147264805
63095,0.07694746017909501,0.07598066407797766,0.07724788147264805
100000,0.07673,0.07646,0.07724788147264805
